,DATA_AS_AT,TRANSACTION_ID,EXPENDITURE,STATE,JSKR_LINKAGE_KEY,STREAM_PLACEMENT_DESC,EF_CATEGORY_DESCRIPTION,DERIVED_DATE_OF_SERVICE,ACTIVITY_TYPE_DESC,ACTIVITY_SUB_DESC,EDUCATION_LEVEL_DESC,GENDER,INDIGENOUS,HOMELESS,PWD,CALD,REFUGEE,EX_OFFENDER,AGE_GROUP,UE_GROUP,year,month,year_month,EDUCATION_ADJ,EF_CATEGORY_ADJ
68224,5/08/2018,1583599J,125.4,QLD,43178,Stream C,Professional Services,24/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,2,Feb-17,Non-trade vocational education,Prof Service
68225,5/08/2018,1637043J,125.4,QLD,43178,Stream C,Professional Services,10/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,3,Mar-17,Non-trade vocational education,Prof Service
68227,5/08/2018,1960095J,125.4,QLD,43178,Stream C,Professional Services,26/05/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,5,May-17,Non-trade vocational education,Prof Service
68228,5/08/2018,1889226J,125.4,QLD,43178,Stream C,Professional Services,12/05/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,5,May-17,Non-trade vocational education,Prof Service
68583,5/08/2018,1832281J,109.0,NSW,43428,Stream B,"Tools, Books, Equipment and Mobile Phones",20/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,4,Apr-17,<Year 10,Other Items
68723,5/08/2018,1775726J,73.99,QLD,43521,Stream B,Work Related Licencing,2/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,40 to 49 years,24 to 59 Months,2017,3,Mar-17,<Year 10,Work Licensing
68878,5/08/2018,2041936J,240.0,QLD,43589,Stream B,Rent and Crisis Accommodation ,13/06/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,12 to 23 Months,2017,6,Jun-17,<Year 10,Accom
69098,5/08/2018,1685500J,9.4,QLD,43735,Stream B,Job Seeker Transport,21/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,Under 22 years,12 to 23 Months,2017,3,Mar-17,Year 10/11,Transport
69099,5/08/2018,1766995J,1758.9,QLD,43735,Stream B,Accredited Training,14/03/2017,Accredited Education and Training (Vocational),Certificate 3,Year 10/11,Male,1.0,1.0,,,,1.0,Under 22 years,12 to 23 Months,2017,3,Mar-17,Year 10/11,Accredited Training
69100,5/08/2018,1900647J,9.4,QLD,43735,Stream B,Job Seeker Transport,7/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,Under 22 years,12 to 23 Months,2017,3,Mar-17,Year 10/11,Transport
69653,5/08/2018,1711619J,1650.0,QLD,44088,Stream C,Employer Required Training (non-accredited),19/01/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,1,Jan-17,<Year 10,Non-Accredited Training
69656,5/08/2018,2091381J,330.0,QLD,44088,Stream C,Targeted Pre-Employment Preparation,19/06/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,6,Jun-17,<Year 10,Pre-Employ Prep
69812,5/08/2018,1949794J,308.0,VIC,44179,Stream C,Targeted Pre-Employment Preparation,25/05/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,12 to 23 Months,2017,5,May-17,<Year 10,Pre-Employ Prep
70322,5/08/2018,1789160J,59.0,QLD,44534,Stream C,Clothing and Presentation,12/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,4,Apr-17,<Year 10,Clothing
70885,5/08/2018,2111828J,5.83,WA ,44865,Stream C,Job Seeker Transport,20/06/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,6,Jun-17,Year 10/11,Transport
70886,5/08/2018,2112058J,52.25,WA ,44865,Stream C,"Food, Phone and Petrol Cards/Vouchers",28/06/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,6,Jun-17,Year 10/11,Cash Cards/Vouchers
70887,5/08/2018,1936330J,150.0,WA ,44865,Stream C,Professional Services,11/05/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,5,May-17,Year 10/11,Prof Service
70888,5/08/2018,1873398J,5.83,WA ,44865,Stream C,Job Seeker Transport,9/05/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,5,May-17,Year 10/11,Transport
70889,5/08/2018,1970282J,52.25,WA ,44865,Stream C,"Food, Phone and Petrol Cards/Vouchers",31/05/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,5,May-17,Year 10/11,Cash Cards/Vouchers
70890,5/08/2018,1427944J,52.25,WA ,44865,Stream C,"Food, Phone and Petrol Cards/Vouchers",11/01/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,1,Jan-17,Year 10/11,Cash Cards/Vouchers
70891,5/08/2018,1453292J,150.0,WA ,44865,Stream C,Professional Services,9/01/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,1,Jan-17,Year 10/11,Prof Service
70892,5/08/2018,1719225J,52.25,WA ,44865,Stream C,"Food, Phone and Petrol Cards/Vouchers",21/03/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,3,Mar-17,Year 10/11,Cash Cards/Vouchers
70893,5/08/2018,1709805J,52.25,WA ,44865,Stream C,"Food, Phone and Petrol Cards/Vouchers",21/03/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,3,Mar-17,Year 10/11,Cash Cards/Vouchers
70894,5/08/2018,1744545J,270.66,WA ,44865,Stream C,Rent and Crisis Accommodation ,23/03/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,3,Mar-17,Year 10/11,Accom
70971,5/08/2018,1614929J,22.0,QLD,44939,Stream B,Job Seeker Transport,1/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,1,Jan-17,<Year 10,Transport
71311,5/08/2018,1633578J,62.7,NT ,45188,Stream C,Work Related Items,1/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,50 to 54 years,60+ Months,2017,2,Feb-17,<Year 10,Work Items
71724,5/08/2018,1669852J,5.83,WA ,45447,Stream B,Job Seeker Transport,20/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,40 to 49 years,60+ Months,2017,3,Mar-17,<Year 10,Transport
71947,5/08/2018,1671614J,72.0,WA ,45551,Stream B,"Tools, Books, Equipment and Mobile Phones",21/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,50 to 54 years,24 to 59 Months,2017,3,Mar-17,Non-trade vocational education,Other Items
72234,5/08/2018,1568365J,104.5,SA ,45723,Stream B,Work Related Licencing,24/02/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,12 to 23 Months,2017,2,Feb-17,Year 10/11,Work Licensing
72235,5/08/2018,1803868J,22.0,SA ,45723,Stream B,"Food, Phone and Petrol Cards/Vouchers",6/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,12 to 23 Months,2017,4,Apr-17,Year 10/11,Cash Cards/Vouchers
72236,5/08/2018,1803867J,31.9,SA ,45723,Stream B,"Food, Phone and Petrol Cards/Vouchers",6/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,12 to 23 Months,2017,4,Apr-17,Year 10/11,Cash Cards/Vouchers
72237,5/08/2018,2576622J,17.5,SA ,45723,Stream B,Job Seeker Transport,1/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,12 to 23 Months,2017,5,May-17,Year 10/11,Transport
72238,5/08/2018,2056376J,20.0,SA ,45723,Stream B,Job Seeker Transport,25/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,5,May-17,Year 10/11,Transport
72239,5/08/2018,1964192J,137.0,SA ,45723,Stream B,Clothing and Presentation,4/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,5,May-17,Year 10/11,Clothing
72240,5/08/2018,1964194J,20.0,SA ,45723,Stream B,Job Seeker Transport,4/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,5,May-17,Year 10/11,Transport
72391,5/08/2018,1490028J,213.35,VIC,45836,Stream B,Clothing and Presentation,12/01/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,1,Jan-17,Year 10/11,Clothing
73177,5/08/2018,1775084J,44.9,QLD,46252,Stream C,Work Related Items,9/03/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,3,Mar-17,Year 10/11,Work Items
73178,5/08/2018,1997637J,23.21,QLD,46252,Stream C,"Food, Phone and Petrol Cards/Vouchers",6/06/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,6,Jun-17,Year 10/11,Cash Cards/Vouchers
74741,5/08/2018,2045305J,83.6,WA ,47233,Stream C,Professional Services,31/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,60+ Months,2017,5,May-17,Year 10/11,Prof Service
74742,5/08/2018,1926365J,39.0,WA ,47233,Stream C,"Tools, Books, Equipment and Mobile Phones",19/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,60+ Months,2017,5,May-17,Year 10/11,Other Items
74743,5/08/2018,1712372J,22.0,WA ,47233,Stream C,"Food, Phone and Petrol Cards/Vouchers",20/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,60+ Months,2017,3,Mar-17,Year 10/11,Cash Cards/Vouchers
74744,5/08/2018,1760137J,29.0,WA ,47233,Stream C,"Tools, Books, Equipment and Mobile Phones",10/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,60+ Months,2017,4,Apr-17,Year 10/11,Other Items
74745,5/08/2018,1883969J,94.05,WA ,47233,Stream C,Professional Services,30/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,40 to 49 years,60+ Months,2017,4,Apr-17,Year 10/11,Prof Service
75052,5/08/2018,2071571J,69.0,QLD,47407,Stream B,"Food, Phone and Petrol Cards/Vouchers",5/06/2017,,,Secondary schooling completed (Year 12/13),Female,1.0,1.0,1.0,,,1.0,25 to 29 years,Under 12 Months,2017,6,Jun-17,Year 12/13,Cash Cards/Vouchers
75087,5/08/2018,2001449J,258.5,SA ,47429,Stream B,Professional Services,8/06/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,12 to 23 Months,2017,6,Jun-17,<Year 10,Prof Service
75652,5/08/2018,2112091J,135.85,VIC,47758,Stream C,Professional Services,1/06/2017,,,Year 10/11,Female,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,6,Jun-17,Year 10/11,Prof Service
75653,5/08/2018,1719165J,112.86,VIC,47758,Stream C,Professional Services,7/03/2017,,,Year 10/11,Female,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,3,Mar-17,Year 10/11,Prof Service
75821,5/08/2018,1870153J,39.0,QLD,47859,Stream C,"Tools, Books, Equipment and Mobile Phones",21/04/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,1.0,,,1.0,25 to 29 years,Under 12 Months,2017,4,Apr-17,Year 12/13,Other Items
75822,5/08/2018,2103697J,125.4,QLD,47859,Stream C,Professional Services,28/06/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,1.0,,,1.0,25 to 29 years,Under 12 Months,2017,6,Jun-17,Year 12/13,Prof Service
75823,5/08/2018,2006872J,550.0,QLD,47859,Stream C,Targeted Pre-Employment Preparation,7/06/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Secondary schooling completed (Year 12/13),Male,1.0,1.0,1.0,,,1.0,25 to 29 years,Under 12 Months,2017,6,Jun-17,Year 12/13,Pre-Employ Prep
76061,5/08/2018,1894088J,308.0,NSW,48013,Stream C,Targeted Pre-Employment Preparation,11/05/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,50 to 54 years,24 to 59 Months,2017,5,May-17,<Year 10,Pre-Employ Prep
76579,5/08/2018,1949905J,61.6,QLD,48292,Stream C,Job Seeker Transport,19/05/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,25 to 29 years,12 to 23 Months,2017,5,May-17,<Year 10,Transport
76580,5/08/2018,2012737J,258.5,QLD,48292,Stream C,Professional Services,8/06/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,25 to 29 years,12 to 23 Months,2017,6,Jun-17,<Year 10,Prof Service
77217,5/08/2018,1654462J,19.0,NT ,48714,Stream B,"Tools, Books, Equipment and Mobile Phones",1/02/2017,,,Year 10/11,Female,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,2,Feb-17,Year 10/11,Other Items
77224,5/08/2018,1523497J,371.25,NT ,48714,Stream B,Accredited Training,6/02/2017,Accredited Education and Training (Vocational),Accredited Units,Year 10/11,Female,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,2,Feb-17,Year 10/11,Accredited Training
77225,5/08/2018,2141394J,13.9,NT ,48714,Stream B,Job Seeker Transport,6/02/2017,,,Year 10/11,Female,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,2,Feb-17,Year 10/11,Transport
81352,5/08/2018,1775643J,112.5,WA ,51269,Stream C,Professional Services,11/04/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,4,Apr-17,Year 10/11,Prof Service
81353,5/08/2018,1880218J,112.5,WA ,51269,Stream C,Professional Services,9/05/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,5,May-17,Year 10/11,Prof Service
81831,5/08/2018,1556949J,17.5,SA ,51578,Stream C,Job Seeker Transport,6/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,2,Feb-17,<Year 10,Transport
81832,5/08/2018,1754611J,83.6,SA ,51578,Stream C,"Food, Phone and Petrol Cards/Vouchers",9/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,1,Jan-17,<Year 10,Cash Cards/Vouchers
81833,5/08/2018,1524853J,39.0,SA ,51578,Stream C,"Tools, Books, Equipment and Mobile Phones",6/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,2,Feb-17,<Year 10,Other Items
81981,5/08/2018,1657247J,5.83,WA ,51668,Stream B,Job Seeker Transport,7/02/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,Under 22 years,Under 12 Months,2017,2,Feb-17,Year 10/11,Transport
82051,5/08/2018,1546412J,330.0,WA ,51715,Stream B,Targeted Pre-Employment Preparation,15/02/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,2,Feb-17,<Year 10,Pre-Employ Prep
82052,5/08/2018,1769193J,150.0,WA ,51715,Stream B,Professional Services,7/04/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,4,Apr-17,<Year 10,Prof Service
82053,5/08/2018,1649705J,150.0,WA ,51715,Stream B,Professional Services,10/03/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,3,Mar-17,<Year 10,Prof Service
82054,5/08/2018,1571014J,150.0,WA ,51715,Stream B,Professional Services,24/02/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,2,Feb-17,<Year 10,Prof Service
82055,5/08/2018,1434779J,150.0,WA ,51715,Stream B,Professional Services,12/01/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,1,Jan-17,<Year 10,Prof Service
82056,5/08/2018,1521776J,150.0,WA ,51715,Stream B,Professional Services,10/02/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,2,Feb-17,<Year 10,Prof Service
82680,5/08/2018,1458138J,27.5,VIC,52085,Stream A,Job Seeker Transport,9/01/2017,,,Trades qualification,Male,1.0,1.0,,,,1.0,40 to 49 years,24 to 59 Months,2017,1,Jan-17,Trade/TAFE,Transport
82700,5/08/2018,1652782J,330.0,QLD,52097,Stream B,Targeted Pre-Employment Preparation,6/03/2017,Non-Accredited Education and Training (Vocational),Employability Skills,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,3,Mar-17,Year 10/11,Pre-Employ Prep
82701,5/08/2018,1615010J,176.55,QLD,52097,Stream B,Work Related Licencing,10/01/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,1,Jan-17,Year 10/11,Work Licensing
82702,5/08/2018,1670862J,128.75,QLD,52097,Stream B,Clothing and Presentation,6/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,3,Mar-17,Year 10/11,Clothing
83144,5/08/2018,1993665J,129.85,WA ,52337,Stream C,Clothing and Presentation,18/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,Under 22 years,Under 12 Months,2017,4,Apr-17,<Year 10,Clothing
83573,5/08/2018,1555661J,123.31,VIC,52617,Stream C,Professional Services,23/01/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,50 to 54 years,24 to 59 Months,2017,1,Jan-17,Year 10/11,Prof Service
83574,5/08/2018,1931537J,125.4,VIC,52617,Stream C,Professional Services,15/05/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,50 to 54 years,24 to 59 Months,2017,5,May-17,Year 10/11,Prof Service
83576,5/08/2018,1463808J,125.4,VIC,52617,Stream C,Professional Services,5/01/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,50 to 54 years,24 to 59 Months,2017,1,Jan-17,Year 10/11,Prof Service
83578,5/08/2018,2986054J,330.0,VIC,52617,Stream C,Non-government Programmes - DEPT approved,17/01/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,50 to 54 years,24 to 59 Months,2017,1,Jan-17,Year 10/11,Non-govern Program
84545,5/08/2018,1973159J,41.8,SA ,53266,Stream C,"Food, Phone and Petrol Cards/Vouchers",31/05/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,24 to 59 Months,2017,5,May-17,Year 10/11,Cash Cards/Vouchers
84724,5/08/2018,1750479J,250.8,WA ,53395,Stream B,Professional Services,3/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,4,Apr-17,Year 10/11,Prof Service
85094,5/08/2018,1670477J,61.6,NSW,53617,Stream B,Driving Lessons,15/02/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,2,Feb-17,Year 10/11,Driving Lessons
85095,5/08/2018,1670494J,132.0,NSW,53617,Stream B,Driving Lessons,15/02/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,2,Feb-17,Year 10/11,Driving Lessons
85817,5/08/2018,1540130J,33.0,QLD,53977,Stream B,"Food, Phone and Petrol Cards/Vouchers",19/01/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,1,Jan-17,<Year 10,Cash Cards/Vouchers
85818,5/08/2018,1516030J,49.0,QLD,53977,Stream B,"Tools, Books, Equipment and Mobile Phones",19/01/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,1,Jan-17,<Year 10,Other Items
86727,5/08/2018,1886629J,35.2,NSW,54572,Stream B,"Tools, Books, Equipment and Mobile Phones",18/01/2017,,,Trades qualification,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,1,Jan-17,Trade/TAFE,Other Items
86789,5/08/2018,1654034J,112.5,WA ,54609,Stream C,Professional Services,15/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,Under 22 years,12 to 23 Months,2017,3,Mar-17,Year 10/11,Prof Service
86790,5/08/2018,1798441J,150.0,WA ,54609,Stream C,Professional Services,20/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,Under 22 years,12 to 23 Months,2017,4,Apr-17,Year 10/11,Prof Service
86791,5/08/2018,1914671J,150.0,WA ,54609,Stream C,Professional Services,18/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,Under 22 years,12 to 23 Months,2017,5,May-17,Year 10/11,Prof Service
86792,5/08/2018,2055172J,550.0,WA ,54609,Stream C,Targeted Pre-Employment Preparation,12/06/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Year 10/11,Male,1.0,1.0,,,,1.0,Under 22 years,12 to 23 Months,2017,6,Jun-17,Year 10/11,Pre-Employ Prep
86968,5/08/2018,1998485J,125.4,VIC,54697,Stream A,Professional Services,29/05/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,,,,1.0,40 to 49 years,Under 12 Months,2017,5,May-17,Year 12/13,Prof Service
87232,5/08/2018,1766925J,258.5,QLD,54842,Stream C,Professional Services,11/04/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,22 to 24 years,24 to 59 Months,2017,4,Apr-17,Non-trade vocational education,Prof Service
87233,5/08/2018,1739608J,258.5,QLD,54842,Stream C,Professional Services,4/04/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,22 to 24 years,24 to 59 Months,2017,4,Apr-17,Non-trade vocational education,Prof Service
87234,5/08/2018,1939571J,258.5,QLD,54842,Stream C,Professional Services,25/05/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,22 to 24 years,24 to 59 Months,2017,5,May-17,Non-trade vocational education,Prof Service
87235,5/08/2018,1918663J,258.5,QLD,54842,Stream C,Professional Services,4/04/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,22 to 24 years,24 to 59 Months,2017,4,Apr-17,Non-trade vocational education,Prof Service
87353,5/08/2018,1955123J,112.5,WA ,54919,Stream B,Professional Services,26/05/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,Under 22 years,12 to 23 Months,2017,5,May-17,<Year 10,Prof Service
87354,5/08/2018,1872773J,112.5,WA ,54919,Stream B,Professional Services,5/05/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,Under 22 years,12 to 23 Months,2017,5,May-17,<Year 10,Prof Service
87355,5/08/2018,1901145J,22.0,WA ,54919,Stream B,"Food, Phone and Petrol Cards/Vouchers",5/05/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,Under 22 years,12 to 23 Months,2017,5,May-17,<Year 10,Cash Cards/Vouchers
87356,5/08/2018,1758559J,112.5,WA ,54919,Stream B,Professional Services,7/04/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,Under 22 years,12 to 23 Months,2017,4,Apr-17,<Year 10,Prof Service
87357,5/08/2018,1569322J,112.5,WA ,54919,Stream B,Professional Services,23/02/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,Under 22 years,12 to 23 Months,2017,2,Feb-17,<Year 10,Prof Service
87765,5/08/2018,2105078J,73.15,SA ,55172,Stream C,Professional Services,28/06/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,6,Jun-17,<Year 10,Prof Service
87766,5/08/2018,1662261J,550.0,SA ,55172,Stream C,Targeted Pre-Employment Preparation,17/03/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,3,Mar-17,<Year 10,Pre-Employ Prep
88139,5/08/2018,1768227J,5.83,WA ,55417,Stream B,Job Seeker Transport,30/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,3,Mar-17,<Year 10,Transport
88140,5/08/2018,1721358J,44.9,WA ,55417,Stream B,Work Related Items,27/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,3,Mar-17,<Year 10,Work Items
88389,5/08/2018,1563229J,330.0,NT ,55530,Stream B,Targeted Pre-Employment Preparation,22/02/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Year 10/11,Male,1.0,1.0,,,,1.0,Under 22 years,Under 12 Months,2017,2,Feb-17,Year 10/11,Pre-Employ Prep
88806,5/08/2018,1536967J,125.4,TAS,55789,Stream B,Professional Services,13/02/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,25 to 29 years,24 to 59 Months,2017,2,Feb-17,Year 10/11,Prof Service
88809,5/08/2018,1487421J,125.4,TAS,55789,Stream B,Professional Services,27/01/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,25 to 29 years,24 to 59 Months,2017,1,Jan-17,Year 10/11,Prof Service
89390,5/08/2018,1838589J,125.4,SA ,56143,Stream C,Professional Services,1/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,60+ Months,2017,5,May-17,Year 10/11,Prof Service
89391,5/08/2018,1942209J,125.4,SA ,56143,Stream C,Professional Services,1/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,60+ Months,2017,5,May-17,Year 10/11,Prof Service
89950,5/08/2018,1533214J,171.9,SA ,56457,Stream B,Clothing and Presentation,1/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,2,Feb-17,Non-trade vocational education,Clothing
89951,5/08/2018,1740456J,528.0,SA ,56457,Stream B,Accredited Training,29/03/2017,Accredited Education and Training (Vocational),Certificate 3,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,60+ Months,2017,3,Mar-17,Non-trade vocational education,Accredited Training
90017,5/08/2018,1633907J,29.0,NSW,56521,Stream C,"Tools, Books, Equipment and Mobile Phones",16/02/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,50 to 54 years,24 to 59 Months,2017,2,Feb-17,Non-trade vocational education,Other Items
90048,5/08/2018,2119826J,39.0,VIC,56527,Stream C,"Tools, Books, Equipment and Mobile Phones",5/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,60+ Months,2017,4,Apr-17,<Year 10,Other Items
